serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
82,SRTRANSFI,SRTRANSFIN,SRTRANSFIN,STK,NSE,,INR,,,,1,,10,20.0,NONE
83,PAGEIND,PAGEIND,PAGEIND,STK,NSE,,INR,,,,1,,10,50.0,NONE
84,TNPL,TNPL,TNPL,STK,NSE,,INR,,,,1,,10,0,NONE
85,IOC,IOC,IOC,STK,NSE,,INR,,,,1,,10,10.0,NONE
86,MANAPPURA,MANAPPURAM,MANAPPURAM,STK,NSE,,INR,,,,1,,10,5.0,NONE
87,VTL,VTL,VTL,STK,NSE,,INR,,,,1,,10,0,NONE
88,NAVINFLUO,NAVINFLUOR,NAVINFLUOR,STK,NSE,,INR,,,,1,,10,0,NONE
89,GATI,GATI,GATI,STK,NSE,,INR,,,,1,,10,0,NONE
90,ITDC,ITDC,ITDC,STK,NSE,,INR,,,,1,,10,0,NONE
91,ENDURANCE,ENDURANCE,ENDURANCE,STK,NSE,,INR,,,,1,,10,0,NONE
92,NBCC,NBCC,NBCC,STK,NSE,,INR,,,,1,,10,5.0,NONE
93,ECLERX,ECLERX,ECLERX,STK,NSE,,INR,,,,1,,10,0,NONE
94,TATASPONG,TATASPONGE,TATASPONGE,STK,NSE,,INR,,,,1,,10,0,NONE
95,TIMKEN,TIMKEN,TIMKEN,STK,NSE,,INR,,,,1,,10,0,NONE
96,TATAINVES,TATAINVEST,TATAINVEST,STK,NSE,,INR,,,,1,,10,0,NONE
