serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
184,BALMLAWRI,BALMLAWRI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
185,BALRAMCHI,BALRAMCHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
186,BANARBEAD,BANARBEAD,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
187,BANCOINDI,BANCOINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
188,BANG,BANG,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
189,BANKBAROD,BANKBAROD,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
190,BANKINDIA,BANKINDIA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
191,MAHABANK,MAHABANK,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
192,BASML,BASML,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
193,BANARISUG,BANARISUG,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
194,BANSWRAS,BANSWRAS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
195,BVCL,BVCL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
196,BARTRONIC,BARTRONIC,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
197,BASF,BASF,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
198,BATAINDIA,BATAINDIA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
199,BAYERCROP,BAYERCROP,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
