Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
BUTTERFLY GANDHIMATHI APPLIA,BUTTERFLY,BUTTERFLY,INR,64684086,NSE,STK
C & C CONSTRUCTIONS LIMITED,CANDC,CANDC,INR,56985322,NSE,STK
C MAHENDRA EXPORTS LTD,CMAHENDRA,CMAHENDRA,INR,82962419,NSE,STK
CADILA HEALTHCARE LTD,CADILAHC,CADILAHC,INR,56985339,NSE,STK
CAIRN INDIA LTD.,CAIRN,CAIRN,INR,50486111,NSE,STK
CALIFORNIA SOFTWARE CO LTD,CALSOFT,CALSOFT,INR,56985384,NSE,STK
CAMBRIDGE TECHNOLOGY ENTERPR,CTE,CTE,INR,56985504,NSE,STK
CAMLIN FINE SCIENCES LTD,CAMLINFIN,CAMLINFINE,INR,165865821,NSE,STK
CAN FIN HOMES LIMITED,CANFINHOM,CANFINHOME,INR,56985293,NSE,STK
CANARA BANK,CANBK,CANBK,INR,56985302,NSE,STK
CANARA ROBECO GOLD ETF,CRMFGETF,CRMFGETF,INR,105063889,NSE,STK
CANTABIL RETAIL INDIA LTD,CANTABIL,CANTABIL,INR,79871596,NSE,STK
CAPITAL FIRST LTD,CAPF,CAPF,INR,56983523,NSE,STK
CAPLIN POINT LABORATORIES,CAPLIPOIN,CAPLIPOINT,INR,64683330,NSE,STK
CAPRI GLOBAL CAPITAL LTD,CGCL,CGCL,INR,64687039,NSE,STK
CARBORUNDUM UNIVERSAL LTD,CARBORUNI,CARBORUNIV,INR,95548951,NSE,STK
CAREER POINT LTD,CAREERP,CAREERP,INR,79730134,NSE,STK
CASTEX TECHNOLOGIES LTD,CASTEXTEC,CASTEXTECH,INR,56988281,NSE,STK
CASTROL INDIA LTD,CASTROLIN,CASTROLIND,INR,146063895,NSE,STK
CCL PRODUCTS INDIA LTD,CCL1,CCL,INR,132773219,NSE,STK
CEAT LIMITED,CEATLTD,CEATLTD,INR,56985342,NSE,STK
CELEBRITY FASHIONS LTD,CELEBRITY,CELEBRITY,INR,56985374,NSE,STK
CELESTIAL BIOLABS LTD,CELESTIAL,CELESTIAL,INR,56985344,NSE,STK
CENTRAL BANK OF INDIA,CENTRALBK,CENTRALBK,INR,56985305,NSE,STK
CENTUM ELECTRONICS LIMITED,CENTUM,CENTUM,INR,56985500,NSE,STK
CENTURY ENKA LIMITED,CENTENKA,CENTENKA,INR,56985349,NSE,STK
CENTURY EXTRUSIONS LIMITED,CENTEXT,CENTEXT,INR,56985361,NSE,STK
CENTURY PLYBOARDS INDIA LTD,CENTURYPL,CENTURYPLY,INR,56985449,NSE,STK
CENTURY TEXTILES & INDS LTD,CENTURYTE,CENTURYTEX,INR,56985354,NSE,STK
CERA SANITARYWARE LTD,CERA,CERA,INR,56985491,NSE,STK
CEREBRA INTEGRATED TECH LTD,CEREBRAIN,CEREBRAINT,INR,64683447,NSE,STK
CESC LIMITED,CESC,CESC,INR,56985359,NSE,STK
CHAMBAL FERTILISERS & CHEM,CHAMBLFER,CHAMBLFERT,INR,56985404,NSE,STK
CHEMFAB ALKALIES LIMITED,CHEMFALKA,CHEMFALKAL,INR,56985395,NSE,STK
CHENNAI PETROLEUM CORP LTD,CHENNPETR,CHENNPETRO,INR,56987345,NSE,STK
