serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
451,DEEPAKNTR,DEEPAKNTR,STK,NSE,,INR,,,,1,,100,
452,DELTACORP,DELTACORP,STK,NSE,,INR,,,,1,,4,ADR:CNX500
453,DELTAMAGN,DELTAMAGNT,STK,NSE,,INR,,,,1,,100,
454,DEN,DEN,STK,NSE,,INR,,,,1,,4,ADR:CNX500
455,DENABANK,DENABANK,STK,NSE,,INR,,,,1,,4,ADR:CNX500
456,DCBBANK,DCBBANK,STK,NSE,,INR,,,,1,,4,ADR:CNX500
457,DHFL,DHFL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
458,DHAMPURSU,DHAMPURSUG,STK,NSE,,INR,,,,1,,100,
459,DHANBANK,DHANBANK,STK,NSE,,INR,,,,1,,4,ADR:CNX500
460,DHANUKA,DHANUKA,STK,NSE,,INR,,,,1,,100,
461,DHARSUGAR,DHARSUGAR,STK,NSE,,INR,,,,1,,100,
462,DHUNINV,DHUNINV,STK,NSE,,INR,,,,1,,100,
463,DPTL,DPTL,STK,NSE,,INR,,,,1,,100,
464,DIAPOWER,DIAPOWER,STK,NSE,,INR,,,,1,,100,
465,DICIND,DICIND,STK,NSE,,INR,,,,1,,100,
466,DIGJAM,DIGJAM,STK,NSE,,INR,,,,1,,100,
467,DISHTV,DISHTV,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,IDT
468,DISHMAN,DISHMAN,STK,NSE,,INR,,,,1,,4,ADR:CNX500
469,DIVISLAB,DIVISLAB,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
470,DLF,DLF,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
471,DOLPHINOF,DOLPHINOFF,STK,NSE,,INR,,,,1,,100,
472,DONEAR,DONEAR,STK,NSE,,INR,,,,1,,100,
473,DPSCLTD,DPSCLTD,STK,NSE,,INR,,,,1,,100,
474,DQE,DQE,STK,NSE,,INR,,,,1,,100,
475,DRREDDY,DRREDDY,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
476,DREDGECOR,DREDGECORP,STK,NSE,,INR,,,,1,,4,ADR:CNX500
477,DSKULKARN,DSKULKARNI,STK,NSE,,INR,,,,1,,100,
478,DUNCANSLT,DUNCANSLTD,STK,NSE,,INR,,,,1,,100,
479,DWARKESH,DWARKESH,STK,NSE,,INR,,,,1,,100,
480,DSSL,DSSL,STK,NSE,,INR,,,,1,,100,
481,DYNATECH,DYNATECH,STK,NSE,,INR,,,,1,,100,
482,DYNAMATEC,DYNAMATECH,STK,NSE,,INR,,,,1,,100,
483,EASTSILK,EASTSILK,STK,NSE,,INR,,,,1,,100,
484,EASUNREYR,EASUNREYRL,STK,NSE,,INR,,,,1,,100,
485,ECEIND,ECEIND,STK,NSE,,INR,,,,1,,100,
486,ECLERX,ECLERX,STK,NSE,,INR,,,,1,,4,ADR:CNX500
487,EDELWEISS,EDELWEISS,STK,NSE,,INR,,,,1,,4,ADR:CNX500
488,EDUCOMP,EDUCOMP,STK,NSE,,INR,,,,1,,4,ADR:CNX500
489,EICHERMOT,EICHERMOT,STK,NSE,,INR,,,,1,,4,ADR:CNX500
490,EIDPARRY,EIDPARRY,STK,NSE,,INR,,,,1,,4,ADR:CNX500
491,EIHAHOTEL,EIHAHOTELS,STK,NSE,,INR,,,,1,,100,
492,EIHOTEL,EIHOTEL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
493,EIMCOELEC,EIMCOELECO,STK,NSE,,INR,,,,1,,100,
494,ELFORGE,ELFORGE,STK,NSE,,INR,,,,1,,100,
495,ELDERPHAR,ELDERPHARM,STK,NSE,,INR,,,,1,,4,ADR:CNX500
496,ELECON,ELECON,STK,NSE,,INR,,,,1,,100,
497,ELECTCAST,ELECTCAST,STK,NSE,,INR,,,,1,,4,ADR:CNX500
498,ESL,ESL,STK,NSE,,INR,,,,1,,100,
499,ELECTHERM,ELECTHERM,STK,NSE,,INR,,,,1,,100,
500,ELGIEQUIP,ELGIEQUIP,STK,NSE,,INR,,,,1,,4,ADR:CNX500
501,ELGIRUBCO,ELGIRUBCO,STK,NSE,,INR,,,,1,,100,
502,ELNET,ELNET,STK,NSE,,INR,,,,1,,100,
