serialno,symbol,brokersymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
320,MRPL,MRPL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
321,MTEDUCARE,MTEDUCARE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
322,MUNJALSHO,MUNJALSHOW,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
323,MUTHOOTFI,MUTHOOTFIN,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
324,NATIONALU,NATIONALUM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
325,NAUKRI,NAUKRI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
326,NAVNETEDU,NAVNETEDUL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
327,NBCC,NBCC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
328,NBVENTURE,NBVENTURES,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
329,NCC,NCC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
330,NDTV,NDTV,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
331,NETWORK18,NETWORK18,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
332,NEYVELILI,NEYVELILIG,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
333,NHPC,NHPC,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
334,NIITLTD,NIITLTD,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
335,NIITTECH,NIITTECH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
336,NITINFIRE,NITINFIRE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
